artist;song;duration_ms
t.A.T.u.;All The Things She Said;214440
Benny Benassi;Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz;285570
Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324306
Panjabi MC;Mundian to Bach Ke;244666
Mis-Teeq;Scandalous - U.S. Radio Edit;238840
JAY-Z;03' Bonnie & Clyde;205560
50 Cent;P.I.M.P.;249480
Jamelia;Superstar;215480
Linkin Park;Faint;162600
DMX;X Gon' Give It To Ya;217586
Evanescence;Bring Me To Life;235893
Sugababes;Hole In The Head;218173
Craig David;Rise & Fall (feat. Sting);287226
Three Days Grace;I Hate Everything About You;231480
Lil Jon & The East Side Boyz;Get Low;324600
B2K;Bump, Bump, Bump (feat. P. Diddy);282773
Baby Bash;Suga Suga;239026
Aaliyah;Miss You - Main;245240
Britney Spears;Me Against the Music (feat. Madonna) - LP Version / Video Mix;223773
Blue;Sorry Seems To Be The Hardest Word;210066
Delta Goodrem;Lost Without You;248546
Justin Timberlake;Rock Your Body;267266
The White Stripes;Seven Nation Army;231920
Youngbloodz;Damn! (feat. Lil' Jon) - Club Mix;298600
Beyoncé;Baby Boy (feat. Sean Paul);244826
Lil' Kim;Magic Stick;359973
Christina Aguilera;Can't Hold Us Down (feat. Lil' Kim);255266
Nickelback;Someday;207466
Blue;U Make Me Wanna - Radio Edit;222400
Ashanti;Rain On Me;297960
Trapt;Headstrong;285569
Simply Red;Sunrise;199040
Lumidee;Never Leave You (Uh Oooh, Uh Oooh);184906
Girls Aloud;Sound Of The Underground;221426
Nelly;Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster;293666
Room 5;Make Luv;212413
Fatman Scoop;Be Faithful;164506
Limp Bizkit;Behind Blue Eyes;269973
Sugababes;Too Lost In You;237693
50 Cent;"Wanksta - From ""8 Mile"" Soundtrack";219400
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;236506
Chingy;Right Thurr;250746
Eminem;Sing For The Moment;339546
Lil' Kim;The Jump Off (feat. Mr. Cheeks) - Remix;234800
Mýa;My Love Is Like...Wo - Main Mix;209533
50 Cent;21 Questions;224440
Nelly;Air Force Ones;304000
Missy Elliott;Gossip Folks (feat. Ludacris);234893
Girls Aloud;Jump;220360
Ultrabeat;Pretty Green Eyes - Radio Edit;201920
Christina Aguilera;Fighter;245960
Frankie J;Don't Wanna Try;245293
Snoop Dogg;Beautiful;299146
Floetry;Say Yes;268373
Ginuwine;In Those Jeans;243306
Electric Six;Danger! High Voltage - Soulchild Radio Mix;214600
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;208386
Ludacris;Stand Up;213760
Nas;I Can;253720
3 Doors Down;When I'm Gone;260333
Tyrese;How You Gonna Act Like That;294693
Justin Timberlake;Cry Me a River;288333
Westlife;Mandy;199320
No Doubt;It's My Life;226053
Amanda Perez;Angel;218760
JAY-Z;Excuse Me Miss;281240
Coldplay;Clocks;307879
Kelly Rowland;Stole;249293
Missy Elliott;Work It;263226
Ashanti;Rock Wit U (Awww Baby);209120
Junior Senior;Move Your Feet;181826
Audioslave;Like a Stone;293960
Sean Paul;Like Glue;232506
Jaheim;Put That Woman First;245773
Jennifer Lopez;All I Have (feat. LL Cool J);254466
Monica;So Gone;242773
Dido;White Flag;240040
The Roots;The Seed (2.0);267933
Chingy;Holidae In;314400
Fabolous;Can't Let You Go (feat. Mike Shorey & Lil' Mo);223973
Kelly Clarkson;Miss Independent;214773
Ja Rule;Mesmerize;278693
Matchbox Twenty;Unwell;228706
Outkast;The Way You Move (feat. Sleepy Brown);234000
Fabolous;Into You (feat. Tamia);295773
Switchfoot;Meant to Live;201373
Daniel Bedingfield;If You're Not The One;257026
Good Charlotte;Lifestyles of the Rich & Famous;190173
Wayne Wonder;No Letting Go;202013
The Strokes;Reptilia;219826
Avril Lavigne;I'm with You;223066
Will Young;Leave Right Now;214733
Usher;Yeah! (feat. Lil Jon & Ludacris);250373
Maroon 5;This Love;206200
Britney Spears;Toxic;198800
Outkast;Hey Ya!;235213
Hoobastank;The Reason;232800
Anastacia;Left Outside Alone;257426
Daddy Yankee;Gasolina;192600
Black Eyed Peas;Let's Get It Started - Spike Mix;217733
O-Zone;Dragostea Din Tei;215431
Terror Squad;Lean Back;247426
Anastacia;Sick and Tired;212266
Gwen Stefani;What You Waiting For?;221226
Ashanti;Only U - No Intro;186306
