artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
David Guetta;Memories (feat. Kid Cudi);0,546;0,916;8;-3,932;1;0,255;0,00144;4,34E-06;0,251;0,375;129,983
Taio Cruz;Dynamite;0,751;0,783;4;-3,724;1;0,0859;0,00379;0;0,036;0,816;119,975
Rihanna;Only Girl (In The World);0,789;0,716;11;-4,241;0;0,0432;0,129;1,07E-05;0,069;0,611;125,906
Katy Perry;California Gurls;0,791;0,754;0;-3,729;1;0,0569;0,00446;0;0,163;0,425;125,014
Kesha;Take It Off;0,729;0,675;5;-5,292;0;0,0286;4,14E-05;0,00126;0,0867;0,74;125,036
INNA;Hot - Play & Win Radio Version;0,817;0,939;7;-6,079;0;0,28;0,0798;0,441;0,431;0,599;128
Far East Movement;Like A G6;0,435;0,837;3;-8,126;1;0,449;0,00676;0;0,117;0,778;124,913
David Guetta;Gettin' Over You (feat. Fergie & LMFAO);0,615;0,913;10;-5,077;0;0,0816;0,178;0;0,0773;0,45;129,944
Duck Sauce;Barbra Streisand - Radio Edit;0,769;0,922;1;-1,966;1;0,108;0,000939;0,197;0,233;0,506;127,965
Lucenzo;Danza Kuduro (feat. Don Omar);0,622;0,942;7;-6,365;1;0,112;0,00713;0;0,0715;0,773;130,003
Rihanna;Te Amo;0,567;0,707;8;-5,455;0;0,0818;0,541;0,000176;0,1;0,751;171,917
Timbaland;Carry Out (Featuring Justin Timberlake);0,531;0,574;10;-6,693;0;0,113;0,114;0,0308;0,256;0,272;115,68
DJ Fresh;Gold Dust - Radio Edit;0,451;0,948;0;-0,74;1;0,147;0,255;0;0,392;0,295;176,985
Edward Maya;Stereo Love - Radio Edit;0,799;0,783;1;-3,896;0;0,0322;0,0346;0,0186;0,0757;0,586;127,041
Taio Cruz;Break Your Heart;0,607;0,934;3;-4,217;1;0,0314;0,0327;0;0,0909;0,568;122,01
Black Eyed Peas;Imma Be;0,597;0,517;0;-6,963;1;0,365;0,179;0;0,307;0,412;92,035
Sidney Samson;Riverside;0,804;0,976;1;-2,458;0;0,0445;0,00023;0,894;0,125;0,237;125,997
Eminem;Not Afraid;0,855;0,954;0;-1,19;0;0,264;0,529;0;0,205;0,668;114,635
Lady Gaga;Alejandro;0,623;0,793;11;-6,63;0;0,0462;0,000397;0,0015;0,375;0,36;98,998
Rihanna;Rude Boy;0,563;0,75;11;-4,496;1;0,127;0,113;0;0,0788;0,812;173,906
Ne-Yo;Beautiful Monster;0,708;0,771;5;-6,99;0;0,131;0,209;5,32E-06;0,277;0,494;128,013
3OH!3;Starstrukk;0,605;0,795;11;-6,086;0;0,0712;0,00153;0;0,207;0,263;139,896
Black Eyed Peas;The Time (Dirty Bit);0,816;0,813;6;-7,798;0;0,0664;0,0662;2,77E-06;0,602;0,436;127,979
Kelly Rowland;Commander;0,395;0,876;11;-3,859;0;0,138;0,0173;8,46E-06;0,362;0,567;124,638
Swedish House Mafia;One (Your Name) - Radio Edit;0,733;0,673;9;-6,572;0;0,0333;0,0132;0,0049;0,16;0,636;125,061
Chris Brown;Deuces (feat. Tyga & Kevin McCall);0,692;0,736;1;-5,109;1;0,11;0,0324;0;0,0787;0,217;73,987
Usher;DJ Got Us Fallin' In Love (feat. Pitbull);0,663;0,861;7;-3,398;0;0,109;0,0338;0;0,082;0,654;119,963
Iyaz;Replay;0,706;0,751;9;-6,323;1;0,0708;0,173;0;0,168;0,195;91,031
Flo Rida;Club Can't Handle Me (feat. David Guetta);0,616;0,869;0;-3,911;1;0,0327;0,0283;0;0,064;0,473;127,966
Sean Kingston;Eenie Meenie;0,72;0,607;1;-4,168;1;0,0322;0,0543;0;0,113;0,828;121,223
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);0,76;0,595;1;-6,366;1;0,0391;0,00544;0;0,241;0,361;131,497
Tinie Tempah;Written in the Stars (feat. Eric Turner);0,656;0,931;7;-4,188;1;0,0981;0,0613;0;0,219;0,534;91,881
Bruno Mars;Talking to the Moon;0,498;0,59;1;-4,721;0;0,032;0,511;0;0,107;0,0784;145,867
Miley Cyrus;Can't Be Tamed;0,63;0,91;11;-2,919;0;0,144;0,0287;0;0,196;0,743;116,98
Mike Posner;Cooler Than Me - Single Mix;0,768;0,82;7;-4,63;0;0,0474;0,179;0;0,689;0,625;129,965
Lady Gaga;Telephone;0,824;0,836;3;-5,903;1;0,0404;0,00521;0,000817;0,112;0,716;122,014
Yolanda Be Cool;We No Speak Americano (JT Radio Edit);0,901;0,805;6;-5,005;1;0,0464;0,0712;0,0812;0,0923;0,737;124,996
Rihanna;Hard;0,31;0,746;1;-3,599;1;0,111;0,0121;0;0,649;0,163;182,032
Tinie Tempah;Pass Out;0,693;0,891;1;-3,261;1;0,296;0,0281;0;0,143;0,532;91,1
Adam Lambert;Whataya Want from Me;0,438;0,672;11;-4,706;0;0,0429;0,0055;0;0,0583;0,457;185,934
Trey Songz;Bottoms Up (feat. Nicki Minaj);0,845;0,601;1;-5,283;1;0,161;0,0205;0;0,385;0,329;74,008
Timbaland;If We Ever Meet Again (Featuring Katy Perry);0,652;0,605;8;-7,371;1;0,0393;0,00481;0;0,0605;0,394;126,091
Enrique Iglesias;I Like It;0,648;0,942;10;-2,881;0;0,0878;0,021;0;0,0594;0,73;129,007
Tim Berg;Seek Bromance - Avicii’s Vocal Edit;0,515;0,837;11;-2,552;1;0,0401;0,0868;0;0,0403;0,52;126,026
Usher;OMG (feat. will.i.am);0,781;0,745;4;-5,81;0;0,0332;0,198;1,14E-05;0,36;0,326;129,998
Maroon 5;Misery;0,703;0,81;4;-4,874;0;0,0424;0,000315;0;0,216;0,726;102,978
Jay Sean;Down;0,657;0,695;2;-4,493;1;0,0321;0,0108;0;0,0822;0,683;65,997
Rihanna;Man Down;0,47;0,904;0;-4,024;0;0,177;0,0436;0;0,0491;0,557;155,788
3OH!3;My First Kiss (feat. Ke$ha);0,682;0,889;0;-4,166;1;0,0804;0,00564;0;0,36;0,827;138,021
Justin Bieber;Baby;0,728;0,859;5;-5,237;0;0,137;0,0401;0;0,111;0,535;65,043
Cali Swag District;Teach Me How to Dougie;0,846;0,438;11;-4,981;1;0,141;0,2;9,43E-05;0,0939;0,512;85,013
Swedish House Mafia;Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah;0,736;0,929;7;-5,89;0;0,0674;0,00237;1,11E-05;0,402;0,658;125,03
K'NAAN;Wavin' Flag;0,625;0,699;0;-6,416;1;0,0729;0,13;0;0,238;0,717;75,974
Ludacris;How Low;0,785;0,498;1;-6,977;1;0,0533;0,00248;1,23E-06;0,224;0,418;143,96
Kesha;Blah Blah Blah (feat. 3OH!3);0,752;0,836;10;-3,173;1;0,115;0,0843;0,000425;0,424;0,519;120,003
DJ Khaled;All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross);0,544;0,781;10;-3,616;1;0,189;0,014;0;0,161;0,277;150,1
Jason Derulo;In My Head;0,762;0,748;0;-4,15;0;0,033;0,0266;0;0,348;0,851;110,009
Aloe Blacc;I Need A Dollar;0,84;0,482;6;-7,116;0;0,0333;0,202;0;0,0873;0,957;95,498
B.o.B;Airplanes (feat. Hayley Williams of Paramore);0,66;0,867;6;-4,285;0;0,116;0,11;0;0,0368;0,377;93,033
Ludacris;My Chick Bad;0,624;0,723;1;-6,782;1;0,378;0,172;0;0,483;0,757;84,789
Nelly;Just A Dream;0,531;0,752;1;-6,161;1;0,0305;0,0421;0;0,12;0,103;89,917
Rihanna;What's My Name?;0,692;0,786;2;-2,959;1;0,069;0,23;0;0,0797;0,583;100,025
Shontelle;Impossible;0,599;0,624;8;-3,631;1;0,0343;0,385;0;0,125;0,539;90,034
Take That;The Flood;0,514;0,83;11;-6,077;0;0,044;0,0378;1,43E-06;0,122;0,138;100,631
Trey Songz;Say Aah (feat. Fabolous);0,724;0,87;1;-3,614;0;0,113;0,00453;0;0,833;0,81;93,01
Jason Derulo;Whatcha Say;0,615;0,711;11;-5,507;1;0,0779;0,0444;0;0,145;0,711;144,036
Drake;Over;0,325;0,848;7;-5,611;1;0,279;0,0109;0;0,124;0,433;100,093
Example;Kickstarts;0,61;0,836;5;-4,455;1;0,0573;0,00374;0;0,358;0,657;126,056
Plan B;She Said;0,72;0,538;3;-5,85;0;0,141;0,301;3,03E-06;0,144;0,815;147,007
The Saturdays;Higher;0,639;0,862;10;-3,292;1;0,0341;0,049;6,81E-06;0,264;0,596;117,011
Jay Sean;Do You Remember;0,855;0,668;11;-4,892;1;0,0644;0,0242;0;0,102;0,803;125,846
Usher;Hey Daddy (Daddy's Home);0,59;0,698;11;-4,262;1;0,0286;0,000176;0;0,107;0,352;95,975
Lil Wayne;Right Above It;0,376;0,841;3;-4,348;0;0,356;0,0435;0;0,578;0,463;76,052
The Wanted;All Time Low;0,689;0,615;8;-5,022;0;0,0563;0,352;0;0,0789;0,783;134,036
Kesha;Your Love Is My Drug;0,826;0,612;1;-3,891;1;0,0982;0,00681;0;0,0889;0,756;120,057
Ellie Goulding;Starry Eyed;0,504;0,814;5;-5,346;0;0,0389;0,135;1,42E-05;0,324;0,596;149,967
Drake;Find Your Love;0,625;0,613;6;-6,005;0;0,173;0,0209;0;0,0286;0,738;96,033
Jason Derulo;Ridin' Solo;0,442;0,83;9;-4,02;1;0,146;0,128;0;0,129;0,578;89,338
Two Door Cinema Club;What You Know;0,55;0,753;6;-4,003;0;0,0407;0,000665;7,74E-06;0,0921;0,841;139,048
JAY-Z;Young Forever;0,637;0,69;9;-3,214;0;0,0693;0,417;0;0,211;0,103;140,329
Young Money;BedRock;0,733;0,664;8;-6,163;1;0,295;0,102;0;0,191;0,557;148,005
B.o.B;Nothin' on You (feat. Bruno Mars);0,688;0,853;10;-5,814;1;0,0493;0,386;0;0,0862;0,743;103,993
Katy Perry;Teenage Dream;0,719;0,798;10;-4,582;1;0,0361;0,0162;2,34E-06;0,134;0,591;120,011
Scouting For Girls;This Ain't a Love Song;0,458;0,905;0;-4,157;1;0,0451;0,000431;0;0,378;0,553;176,667
Travie McCoy;Billionaire (feat. Bruno Mars);0,633;0,673;6;-6,403;0;0,258;0,297;0;0,206;0,659;86,776
Owl City;Fireflies;0,512;0,662;3;-6,797;1;0,0439;0,0275;0;0,118;0,472;180,114
Alicia Keys;Empire State of Mind (Part II) Broken Down;0,484;0,368;6;-7,784;1;0,0341;0,74;3,82E-05;0,118;0,142;92,923
Lady A;Need You Now;0,581;0,717;4;-4,433;1;0,0318;0,0298;0,000186;0,243;0,316;107,884
Taylor Swift;Back To December;0,529;0,67;2;-4,663;1;0,0303;0,117;0;0,334;0,286;141,893
Neon Trees;Animal;0,482;0,829;5;-5,576;1;0,0437;0,00034;0;0,378;0,739;147,99
Kris Allen;Live Like We're Dying;0,589;0,893;0;-2,948;1;0,0397;0,0273;0;0,343;0,94;92,011
Matt Cardle;When We Collide;0,443;0,683;2;-5,521;1;0,0343;0,0198;5,26E-06;0,313;0,447;81,986
Robyn;Dancing On My Own;0,687;0,865;6;-4,663;1;0,0349;0,0743;0,225;0,0966;0,261;117,015
The Band Perry;If I Die Young;0,606;0,497;4;-6,611;1;0,0277;0,348;0;0,275;0,362;130,739
B.o.B;Magic (feat. Rivers Cuomo);0,549;0,932;8;-4,11;0;0,343;0,0127;0;0,347;0,787;82,439
Adele;Rolling in the Deep;0,73;0,77;8;-5,114;1;0,0298;0,138;0;0,0473;0,507;104,948
Maroon 5;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";0,722;0,761;11;-4,459;0;0,0475;0,0117;0;0,315;0,624;128,044
LMFAO;Party Rock Anthem;0,751;0,736;5;-4,168;0;0,156;0,0206;0;0,265;0,352;130,014
Katy Perry;Firework;0,638;0,832;8;-5,039;1;0,049;0,141;0;0,113;0,648;124,071
Bruno Mars;Grenade;0,704;0,558;2;-7,273;0;0,0542;0,148;0;0,107;0,245;110,444
Pitbull;Hey Baby (Drop It to the Floor) (feat. T-Pain);0,595;0,912;10;-3,428;0;0,0884;0,0434;0;0,259;0,762;128,024
Alexandra Stan;Mr. Saxobeat;0,726;0,931;11;-4,152;0;0,0468;0,0218;0,000283;0,143;0,797;126,976
David Guetta;Who's That Chick? (feat. Rihanna);0,675;0,602;11;-4,733;0;0,116;0,00377;0;0,0458;0,933;127,938
Jennifer Lopez;On The Floor;0,73;0,777;3;-5,194;0;0,0496;0,105;0,000478;0,0691;0,575;130
Rihanna;S&M;0,767;0,682;1;-5,02;1;0,042;0,0113;0,00016;0,104;0,833;127,975
Kesha;Blow;0,753;0,729;11;-3,862;0;0,0392;0,00334;5,66E-05;0,073;0,812;120,013
Snoop Dogg;Sweat - Remix;0,813;0,732;7;-5,636;1;0,03;0,0597;0,00137;0,0826;0,731;130,02
Taio Cruz;Higher;0,672;0,907;8;-5,069;0;0,0721;0,0048;3,40E-05;0,156;0,746;128,027
Usher;More - RedOne Jimmy Joker Remix;0,551;0,893;7;-2,628;1;0,0543;0,00166;0;0,348;0,794;125,083
Example;Changed the Way You Kiss Me - Radio Edit;0,578;0,857;4;-3,78;0;0,041;0,00548;0,00162;0,0948;0,188;126,979
Black Eyed Peas;Just Can’t Get Enough;0,659;0,628;0;-8,685;0;0,179;0,186;0;0,105;0,262;94,05
David Guetta;Where Them Girls At (feat. Nicki Minaj & Flo Rida);0,666;0,876;3;-3,078;1;0,0414;0,055;0;0,259;0,552;129,884
Lykke Li;I Follow Rivers - The Magician Remix;0,786;0,709;9;-5,737;0;0,0395;0,0192;0,00118;0,0845;0,285;122,019
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);0,671;0,939;8;-3,206;1;0,161;0,191;0;0,298;0,53;129,024
Selena Gomez & The Scene;Love You Like A Love Song;0,858;0,678;1;-3,87;0;0,0469;0,0761;0;0,0741;0,922;117,009
Wiz Khalifa;Black and Yellow;0,684;0,834;2;-4,524;0;0,0675;0,0646;0;0,271;0,538;164,02
Katy Perry;E.T.;0,62;0,869;1;-5,252;1;0,175;0,0181;0;0,369;0,76;151,684
Britney Spears;I Wanna Go;0,696;0,546;5;-6,55;1;0,0414;0,00379;3,80E-06;0,332;0,787;130,002
Gym Class Heroes;Stereo Hearts (feat. Adam Levine);0,646;0,795;9;-3,293;1;0,0976;0,0319;0;0,267;0,796;89,99
Edward Maya;Stereo Love - Radio Edit;0,799;0,783;1;-3,896;0;0,0322;0,0346;0,0186;0,0757;0,586;127,041
Enrique Iglesias;Tonight (I'm Fuckin' You);0,648;0,89;0;-3,982;0;0,0523;0,0294;3,58E-06;0,116;0,321;125,953
Jeremih;Down On Me;0,7;0,598;2;-7,783;1;0,114;0,0369;0;0,111;0,594;160,041
Sak Noel;Loca People - Radio Edit;0,926;0,808;11;-3,148;0;0,0599;0,000915;0,00327;0,0515;0,701;127,998
Olly Murs;Heart Skips a Beat (feat. Rizzle Kicks);0,843;0,881;9;-3,951;1;0,0581;0,14;0;0,0765;0,876;110,621
LMFAO;Sexy And I Know It;0,707;0,861;7;-4,225;1;0,316;0,1;0;0,191;0,795;130,021
Cobra Starship;You Make Me Feel... (feat. Sabi);0,668;0,857;7;-2,944;0;0,0535;0,0191;6,71E-06;0,0385;0,748;131,959
Jessie J;Do It Like A Dude;0,663;0,843;2;-3,672;1;0,049;0,0491;0;0,364;0,375;140,036
DJ Fresh;Louder (feat. Sian Evans) - Radio Edit;0,31;0,926;6;-1,131;0;0,0464;0,0184;0,00792;0,483;0,493;139,85
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);0,76;0,595;1;-6,366;1;0,0391;0,00544;0;0,241;0,361;131,497
Nickelback;When We Stand Together;0,446;0,9;10;-3,541;0;0,0489;0,000102;1,89E-05;0,0404;0,88;187,961
M83;Midnight City;0,507;0,729;11;-5,399;0;0,0393;0,0182;1,40E-06;0,0658;0,272;105,013
Britney Spears;Till the World Ends;0,693;0,705;8;-5,747;1;0,0665;0,0228;0;0,202;0,45;131,951
Labrinth;Earthquake (feat. Tinie Tempah);0,54;0,856;0;-3,966;0;0,1;0,109;0;0,276;0,258;153,071
Jason Derulo;Don't Wanna Go Home;0,671;0,808;2;-4,861;0;0,0652;0,02;0;0,134;0,637;121,956
Coldplay;Paradise;0,449;0,585;5;-6,761;1;0,0268;0,0509;8,75E-05;0,0833;0,212;139,631
Katy Perry;Last Friday Night (T.G.I.F.);0,649;0,815;3;-3,796;0;0,0415;0,00125;4,31E-05;0,671;0,765;126,03
Adele;Set Fire to the Rain;0,603;0,67;2;-3,882;0;0,0249;0,00408;1,66E-06;0,112;0,445;107,995
Dr. Dre;I Need A Doctor;0,594;0,946;3;-4,521;1;0,452;0,0869;0;0,306;0,397;155,826
Lil Wayne;6 Foot 7 Foot;0,364;0,752;2;-5,429;1;0,304;0,0007;0;0,318;0,606;79,119
DJ Khaled;I'm On One;0,413;0,807;11;-3,499;0;0,318;0,0536;0;0,631;0,438;149,33
Chris Brown;Look At Me Now (feat. Lil' Wayne & Busta Rhymes);0,767;0,677;11;-6,128;0;0,184;0,0339;5,51E-06;0,144;0,538;146,155
Far East Movement;Rocketeer;0,664;0,845;4;-6,115;0;0,0461;0,181;0;0,267;0,357;96,005
The Wanted;Glad You Came;0,722;0,851;7;-3,873;0;0,0639;0,0319;0;0,108;0,452;126,885
Kesha;We R Who We R;0,736;0,817;8;-4,9;1;0,0407;0,00987;0,00167;0,117;0,653;119,95
Kelly Rowland;Motivation;0,744;0,672;9;-5,589;0;0,0418;0,187;0,000123;0,105;0,266;140,889
Rihanna;We Found Love;0,735;0,766;1;-4,485;1;0,0383;0,025;0,00138;0,108;0,6;127,985
Nicole Scherzinger;Don't Hold Your Breath;0,66;0,797;5;-6,096;0;0,0262;0,00646;0,000108;0,187;0,674;110,955
Mann;Buzzin Remix;0,687;0,939;10;-4,372;0;0,146;0,0887;0;0,283;0,539;104,029
Chris Brown;Yeah 3x;0,705;0,882;11;-3,201;0;0,0445;0,000369;1,16E-06;0,0934;0,7;130
Swedish House Mafia;Save The World;0,507;0,665;0;-7,598;1;0,0474;0,0144;0;0,0759;0,4;126,879
Kanye West;All Of The Lights;0,531;0,803;1;-3,284;1;0,0717;0,0796;1,71E-05;0,176;0,221;142,113
Miguel;Sure Thing;0,684;0,607;11;-8,127;0;0,1;0,0267;0,000307;0,191;0,498;81,001
Diddy - Dirty Money;Coming Home;0,392;0,839;7;-1,921;1;0,193;0,158;0;0,3;0,232;168,001
Rihanna;What's My Name?;0,692;0,786;2;-2,959;1;0,069;0,23;0;0,0797;0,583;100,025
Chris Brown;Beautiful People;0,415;0,775;5;-6,366;0;0,161;0,0658;0,00431;0,0843;0,536;127,898
Avril Lavigne;What the Hell;0,578;0,926;6;-3,689;0;0,0548;0,00472;0,0127;0,14;0,877;149,976
Professor Green;Read All About It;0,656;0,752;11;-5,522;0;0,0434;0,336;0;0,223;0,445;100,963
Chase & Status;Blind Faith;0,45;0,846;9;-4,712;0;0,0472;0,00523;0;0,228;0,402;140,042
Chip;Champion (feat. Chris Brown);0,415;0,934;6;-2,914;0;0,24;0,078;0;0,145;0,52;190,151
Selena Gomez & The Scene;Who Says;0,682;0,927;4;-2,915;1;0,0479;0,0843;0;0,149;0,744;101,019
Rizzle Kicks;Down With The Trumpets;0,753;0,88;4;-4,689;0;0,0806;0,087;0;0,24;0,794;115,057
Lady Gaga;Born This Way;0,587;0,828;11;-5,108;1;0,161;0,00327;0;0,331;0,494;123,907
Nicki Minaj;Super Bass;0,72;0,861;11;-4,339;1;0,209;0,269;5,11E-06;0,601;0,669;126,991
Mac Miller;Donald Trump;0,636;0,901;1;-7,094;0;0,118;0,119;0;0,391;0,836;162,994
Calvin Harris;Bounce (feat. Kelis) - Radio Edit;0,779;0,963;2;-2,125;0;0,0399;0,0334;0,493;0,664;0,759;127,941
David Guetta;Without You (feat. Usher);0,608;0,614;2;-3,727;1;0,0285;0,227;4,06E-06;0,157;0,402;127,884
Foster The People;Pumped Up Kicks;0,733;0,71;5;-5,849;0;0,0292;0,145;0,115;0,0956;0,965;127,975
Drake;Headlines;0,636;0,566;6;-7,16;0;0,106;0,365;0,000353;0,0917;0,425;151,894
Jessie J;Price Tag;0,636;0,831;5;-3,945;1;0,182;0,0294;3,85E-06;0,272;0,668;175,015
Jason Aldean;Dirt Road Anthem;0,678;0,739;2;-5,068;1;0,0352;0,32;2,36E-06;0,116;0,658;127,037
Wiz Khalifa;Roll Up;0,523;0,805;3;-5,473;1;0,192;0,0524;0;0,0914;0,602;125,358
OneRepublic;Good Life;0,634;0,69;6;-7,804;1;0,052;0,0771;0;0,132;0,645;94,988
Bad Meets Evil;Lighters;0,676;0,695;0;-8,327;1;0,245;0,352;0;0,119;0,144;90,268
Bruno Mars;The Lazy Song;0,794;0,711;8;-5,124;0;0,0699;0,3;0;0,0955;0,955;174,915
Lupe Fiasco;The Show Goes On;0,591;0,889;7;-3,839;1;0,115;0,0189;0;0,155;0,65;143,067
James Morrison;I Won't Let You Go;0,537;0,611;0;-6,427;1;0,0304;0,229;0;0,146;0,161;105,955
Jason Derulo;It Girl;0,668;0,718;1;-4,736;0;0,0605;0,0165;0;0,104;0,345;91,993
Adele;Someone Like You;0,554;0,321;9;-8,251;1;0,028;0,893;0;0,0996;0,288;135,047
Red Hot Chili Peppers;The Adventures of Rain Dance Maggie;0,683;0,734;4;-4,523;0;0,029;0,00112;0,0139;0,258;0,576;106,254
Keri Hilson;Pretty Girl Rock;0,666;0,87;11;-5,004;0;0,246;0,203;0;0,0851;0,9;160,014
P!nk;F**kin' Perfect;0,563;0,671;7;-4,788;1;0,0373;0,0422;0;0,36;0,45;91,964
Blake Shelton;Honey Bee;0,481;0,849;4;-5,131;1;0,0385;0,00167;1,49E-06;0,121;0,723;205,57
Lady Gaga;The Edge Of Glory;0,583;0,768;9;-6,477;1;0,041;0,000323;0,0162;0,109;0,357;127,952
Lady A;Just A Kiss;0,593;0,639;1;-5,826;1;0,0307;0,446;0;0,0998;0,332;142,881
Hot Chelle Rae;Tonight Tonight;0,686;0,783;4;-4,977;1;0,119;0,0764;0;0,163;0,814;99,978
Grouplove;Tongue Tied;0,56;0,936;3;-5,835;1;0,0439;0,00847;0;0,161;0,371;112,96
Coldplay;Every Teardrop Is a Waterfall;0,425;0,732;9;-6,883;1;0,0396;0,00194;0,0103;0,171;0,333;117,98
Beyoncé;Best Thing I Never Had;0,545;0,649;6;-4,062;1;0,0324;0,143;1,57E-05;0,0894;0,297;99,099
P!nk;Raise Your Glass;0,7;0,709;7;-5,006;1;0,0838;0,0048;0;0,029;0,624;122,019
Christina Perri;Jar of Hearts;0,349;0,348;3;-6,142;1;0,0316;0,726;0;0,12;0,0886;74,541
Bruno Mars;Marry You;0,621;0,82;10;-4,865;1;0,0367;0,332;0;0,104;0,452;144,905
The Band Perry;If I Die Young;0,606;0,497;4;-6,611;1;0,0277;0,348;0;0,275;0,362;130,739
Lil Wayne;How To Love;0,644;0,661;11;-6,093;1;0,0418;0,000177;5,23E-06;0,108;0,272;153,992
Charlene Soraia;Wherever You Will Go;0,597;0,115;9;-9,217;1;0,0334;0,82;0,000215;0,111;0,128;111,202
Christina Perri;A Thousand Years;0,421;0,407;10;-7,445;1;0,0267;0,309;0,000961;0,11;0,161;139,028
Rihanna;We Found Love;0,735;0,766;1;-4,485;1;0,0383;0,025;0,00138;0,108;0,6;127,985
Carly Rae Jepsen;Call Me Maybe;0,783;0,58;7;-6,548;1;0,0408;0,0114;2,28E-06;0,108;0,66;120,021
fun.;We Are Young (feat. Janelle Monáe);0,378;0,638;10;-5,576;1;0,075;0,02;7,66E-05;0,0849;0,735;184,086
Sean Paul;She Doesn't Mind;0,718;0,776;7;-5,208;0;0,0693;0,000624;5,30E-06;0,207;0,622;120,015
Pitbull;International Love (feat. Chris Brown);0,67;0,855;0;-3,035;0;0,0499;0,0124;0;0,335;0,648;120,05
DEV;In The Dark;0,736;0,824;8;-4,231;1;0,0672;0,00358;0,000921;0,329;0,443;124,954
Adele;Skyfall;0,346;0,552;0;-6,864;0;0,0282;0,417;0;0,114;0,0789;75,881
David Guetta;Turn Me On (feat. Nicki Minaj);0,704;0,793;8;-2,266;1;0,0591;0,0488;0;0,575;0,412;127,96
Rihanna;Where Have You Been;0,719;0,847;0;-6,34;0;0,0916;0,00201;0,0204;0,223;0,444;127,963
JAY-Z;Ni**as In Paris;0,789;0,858;1;-5,542;1;0,311;0,127;0;0,349;0,775;140,022
Maroon 5;One More Night;0,716;0,821;5;-3,435;0;0,0314;0,0558;0;0,0844;0,618;92,997
Skrillex;Bangarang (feat. Sirah);0,716;0,972;7;-2,302;1;0,196;0,0145;3,22E-05;0,317;0,576;110,026
The Wanted;Chasing The Sun;0,637;0,732;7;-6,209;0;0,0965;0,244;0;0,498;0,68;128,108
Flo Rida;Whistle;0,747;0,937;0;-5,746;1;0,0453;0,0208;0;0,29;0,739;103,976
will.i.am;This Is Love;0,535;0,796;0;-3,446;0;0,0445;0,00473;0;0,145;0,282;128,954
David Guetta;She Wolf (Falling to Pieces) [feat. Sia];0,492;0,857;7;-2,634;1;0,0655;0,0841;7,82E-06;0,344;0,393;129,973
Nicki Minaj;Pound The Alarm;0,728;0,858;9;-3,686;1;0,0609;0,0403;4,09E-06;0,0241;0,591;125,055
Kendrick Lamar;Swimming Pools (Drank) - Extended Version;0,716;0,485;1;-7,745;1;0,404;0,123;2,69E-05;0,604;0,26;74,132
MARINA;Primadonna;0,66;0,689;4;-2,671;0;0,0337;0,0884;0;0,0922;0,427;127,98
Kanye West;Mercy;0,563;0,496;6;-9,381;0;0,406;0,0685;5,80E-05;0,173;0,426;139,993
DJ Fresh;Hot Right Now (feat. RITA ORA) - Radio Edit;0,524;0,972;4;-1,569;0;0,0431;0,00656;0,00058;0,224;0,476;175,017
LMFAO;Sexy And I Know It;0,707;0,861;7;-4,225;1;0,316;0,1;0;0,191;0,795;130,021
PSY;Gangnam Style (강남스타일);0,727;0,937;11;-2,871;0;0,286;0,00417;0;0,091;0,749;132,067
Kesha;Die Young;0,711;0,7;1;-4,805;0;0,046;0,00498;0,000125;0,215;0,801;128,001
Usher;Scream;0,616;0,862;7;-5,18;0;0,0973;0,00117;0;0,179;0,569;127,992
Olly Murs;Troublemaker (feat. Flo Rida);0,762;0,863;0;-3,689;0;0,0565;0,015;0;0,125;0,965;106,008
Linkin Park;BURN IT DOWN;0,585;0,972;9;-4,45;0;0,0534;0,0143;0;0,0707;0,585;110,006
Bruno Mars;Locked out of Heaven;0,726;0,698;5;-4,165;1;0,0431;0,049;0;0,309;0,867;143,994
Avicii;Levels - Radio Edit;0,584;0,889;1;-5,941;0;0,0343;0,0462;0,828;0,309;0,464;126,04
Flo Rida;Good Feeling;0,706;0,89;1;-4,444;0;0,0688;0,0588;0,00286;0,306;0,684;128,011
Rihanna;Diamonds;0,564;0,71;11;-4,92;0;0,0461;0,00125;0;0,109;0,393;91,972
Wiz Khalifa;Work Hard, Play Hard;0,787;0,666;11;-4,475;1;0,0485;0,0409;1,91E-05;0,296;0,485;140,008
Katy Perry;Part Of Me;0,678;0,918;5;-4,63;1;0,0355;0,000417;0;0,0744;0,769;130,028
Nicki Minaj;Starships;0,747;0,716;11;-2,457;0;0,075;0,135;0;0,251;0,751;125,008
Kendrick Lamar;m.A.A.d city;0,487;0,729;2;-6,815;1;0,271;0,0538;4,07E-06;0,44;0,217;91,048
Asaf Avidan & the Mojos;One Day / Reckoning Song (Wankelmut Remix) [Radio Edit];0,821;0,676;3;-6,366;0;0,0547;0,187;0,0001;0,0927;0,559;119,012
Florence + The Machine;Spectrum (Say My Name) - Calvin Harris Remix;0,578;0,946;11;-3,85;0;0,0482;0,00225;0,00412;0,0966;0,588;126,092
