artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Toni Braxton;He Wasn't Man Enough;0,739;0,947;11;-1,916;0;0,0411;0,00916;3,14E-05;0,326;0,766;88,009
Bow Wow;Bounce With Me (feat. Xscape) - Edited Album Version;0,852;0,75;8;-5,153;1;0,168;0,434;0;0,265;0,934;72,016
Dr. Dre;Forgot About Dre;0,924;0,74;8;-1,299;1;0,0774;0,0827;0;0,163;0,621;133,974
Missy Elliott;Hot Boyz;0,727;0,445;1;-11,241;1;0,291;0,339;0;0,18;0,527;81,125
Backstreet Boys;Show Me the Meaning of Being Lonely;0,63;0,625;6;-5,088;0;0,0252;0,231;0;0,0765;0,683;167,998
Samantha Mumba;Gotta Tell You;0,729;0,632;0;-8,75;0;0,0279;0,191;0;0,166;0,774;109,981
Mýa;Case Of The Ex (Whatcha Gonna Do);0,772;0,688;1;-4,715;0;0,0405;0,0548;9,79E-05;0,0725;0,348;98
Mary Mary;Shackles (Praise You);0,779;0,834;7;-2,773;1;0,162;0,0343;0;0,0886;0,8;100,46
Next;Wifey;0,829;0,652;7;-8,693;0;0,108;0,067;0;0,0812;0,726;99,581
Janet Jackson;Doesn't Really Matter;0,771;0,796;5;-3,081;0;0,076;0,0993;0,00278;0,0981;0,801;99,316
Ricky Martin;She Bangs - English Version;0,63;0,95;1;-4,012;1;0,0806;0,000915;6,51E-06;0,373;0,858;143,866
Jagged Edge;He Can't Love U;0,721;0,836;8;-3,972;0;0,206;0,112;0;0,235;0,508;126,279
Sisqo;Incomplete;0,746;0,443;1;-7,693;0;0,0771;0,282;0;0,14;0,272;119,311
JAY-Z;I Just Wanna Love U (Give It 2 Me);0,8;0,922;4;-5,125;0;0,24;0,301;9,31E-06;0,0352;0,801;98,631
Mariah Carey;Thank God I Found You (feat. Joe & 98°);0,348;0,532;10;-5,882;1;0,0331;0,592;0;0,106;0,148;129,297
Baha Men;Who Let The Dogs Out;0,869;0,887;0;-4,505;1;0,0993;0,0605;0;0,148;0,784;129,221
Donell Jones;"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)";0,854;0,543;8;-6,166;0;0,0844;0,0402;5,73E-05;0,0419;0,868;103,032
LeAnn Rimes;Can't Fight The Moonlight;0,628;0,834;6;-6,341;0;0,0497;0,403;0;0,051;0,626;97,865
Oasis;Go Let It Out;0,408;0,849;2;-5,631;1;0,0333;0,0136;2,51E-05;0,56;0,628;84,192
DJ Ötzi;Hey Baby (Radio Mix);0,666;0,968;10;-3,196;1;0,046;0,123;0;0,347;0,834;135,099
P!nk;Most Girls;0,742;0,732;2;-6,046;0;0,0311;0,0424;0,00446;0,101;0,694;97,922
Mariah Carey;Against All Odds (Take A Look at Me Now) (feat. Westlife);0,471;0,514;1;-5,599;1;0,0315;0,584;0;0,103;0,373;117,338
Craig David;Fill Me In;0,682;0,744;8;-6,981;1;0,0365;0,376;0,00951;0,06;0,827;132,493
Christina Aguilera;I Turn to You;0,599;0,47;1;-8,356;1;0,0376;0,38;0;0,111;0,298;127,177
