artist;song;popularity
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;67
Chingy;Right Thurr;69
Eminem;Sing For The Moment;71
Lil' Kim;The Jump Off (feat. Mr. Cheeks) - Remix;48
Mýa;My Love Is Like...Wo - Main Mix;48
50 Cent;21 Questions;72
Nelly;Air Force Ones;61
Missy Elliott;Gossip Folks (feat. Ludacris);57
Girls Aloud;Jump;60
Ultrabeat;Pretty Green Eyes - Radio Edit;59
Christina Aguilera;Fighter;67
Frankie J;Don't Wanna Try;49
Snoop Dogg;Beautiful;67
Floetry;Say Yes;57
Ginuwine;In Those Jeans;59
Electric Six;Danger! High Voltage - Soulchild Radio Mix;0
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;38
Ludacris;Stand Up;57
Nas;I Can;58
3 Doors Down;When I'm Gone;67
Tyrese;How You Gonna Act Like That;60
Justin Timberlake;Cry Me a River;73
Westlife;Mandy;57
No Doubt;It's My Life;60
Amanda Perez;Angel;48
JAY-Z;Excuse Me Miss;56
Coldplay;Clocks;79
Kelly Rowland;Stole;54
Missy Elliott;Work It;70
Ashanti;Rock Wit U (Awww Baby);65
Junior Senior;Move Your Feet;67
Audioslave;Like a Stone;75
Sean Paul;Like Glue;61
Jaheim;Put That Woman First;55
Jennifer Lopez;All I Have (feat. LL Cool J);60
Monica;So Gone;64
Dido;White Flag;44
The Roots;The Seed (2.0);63
Chingy;Holidae In;61
Fabolous;Can't Let You Go (feat. Mike Shorey & Lil' Mo);61
Kelly Clarkson;Miss Independent;47
Ja Rule;Mesmerize;61
Matchbox Twenty;Unwell;63
Outkast;The Way You Move (feat. Sleepy Brown);66
Fabolous;Into You (feat. Tamia);67
Switchfoot;Meant to Live;61
Daniel Bedingfield;If You're Not The One;58
Good Charlotte;Lifestyles of the Rich & Famous;68
Wayne Wonder;No Letting Go;63
The Strokes;Reptilia;74
Avril Lavigne;I'm with You;70
Will Young;Leave Right Now;55
Usher;Yeah! (feat. Lil Jon & Ludacris);81
Maroon 5;This Love;77
Britney Spears;Toxic;81
Outkast;Hey Ya!;80
Hoobastank;The Reason;79
Anastacia;Left Outside Alone;65
Daddy Yankee;Gasolina;11
Black Eyed Peas;Let's Get It Started - Spike Mix;53
O-Zone;Dragostea Din Tei;56
Terror Squad;Lean Back;67
Anastacia;Sick and Tired;56
Gwen Stefani;What You Waiting For?;60
Ashanti;Only U - No Intro;56
The Rasmus;In the Shadows;68
Houston;I Like That;59
Beyoncé;Naughty Girl;63
Linkin Park;Numb;81
Lloyd Banks;On Fire;61
Akon;Locked Up;16
D12;My Band;73
Jay Sean;Eyes On You - Radio Mix;42
Mario Winans;I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;66
Destiny's Child;Lose My Breath;61
Eric Prydz;Call on Me - Radio Mix;72
Ciara;Goodies (feat. Petey Pablo);67
Kelis;Trick Me;63
LL Cool J;Headsprung;56
Spiderbait;Black Betty - Edit;63
George Michael;Amazing;57
Britney Spears;My Prerogative;53
Nina Sky;Move Ya Body;67
Baby Bash;Suga Suga;73
Petey Pablo;Freek-A-Leek;56
JAY-Z;Dirt Off Your Shoulder;53
Juanes;La Camisa Negra;70
Avril Lavigne;Nobody's Home;61
Robbie Williams;Radio;33
Black Eyed Peas;Hey Mama;49
Ying Yang Twins;Salt Shaker;61
Enrique Iglesias;Not In Love - Radio Mix;37
Kelis;Milkshake;68
Linkin Park;Breaking the Habit;68
JoJo;Leave (Get Out) - Radio Edit;49
Christina Milian;Dip It Low;45
Avant;Read Your Mind;56
Eminem;Just Lose It;67
Sugababes;Too Lost In You;58
Snoop Dogg;Drop It Like It's Hot;39
Sean Paul;I'm Still in Love with You (feat. Sasha);68
The Shapeshifters;Lola's Theme - Radio Edit;65
D12;How Come;57
Basement Jaxx;Good Luck;0
Kevin Lyttle;Turn Me On;67
Chingy;One Call Away;61
T.I.;Bring Em Out;63
DJ Casper;Cha Cha Slide - Hardino Mix;51
Kylie Minogue;I Believe in You;47
Twista;Overnight Celebrity;66
N.E.R.D;She Wants To Move;57
Britney Spears;Everytime;63
U2;Vertigo;64
Franz Ferdinand;Take Me Out;77
J-Kwon;Tipsy - Club Mix;59
G-Unit;Wanna Get To Know You;61
Lil' Flip;Sunshine (feat. Lea);42
Kanye West;Jesus Walks;73
Evanescence;My Immortal;72
Nelly;My Place;57
Lemar;If There's Any Justice;46
No Doubt;It's My Life;60
Avril Lavigne;Don't Tell Me;58
Twista;Slow Jamz;72
Green Day;American Idiot;77
Kelis;Millionaire;57
Scissor Sisters;Comfortably Numb;43
Alicia Keys;Diary (feat. Tony! Toni! Tone! & Jermaine Paul);55
Kanye West;Through The Wire;76
Special D.;Come With Me - Radio Edit;61
Ludacris;Splash Waterfalls;48
Avril Lavigne;My Happy Ending;68
Dido;White Flag;44
Eamon;Fuck It (I Don't Want You Back);64
Beyoncé;Me, Myself and I;62
3 Doors Down;Here Without You;74
Kanye West;All Falls Down;80
Twista;Sunshine (feat. Anthony Hamilton);56
Katie Melua;The Closest Thing to Crazy;55
Usher;My Boo;76
Lloyd;Southside;59
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;59
The Streets;Fit but You Know It;58
JUVENILE;Slow Motion;64
Outkast;The Way You Move (feat. Sleepy Brown);66
Girls Aloud;Love Machine;59
Jessica Simpson;With You;57
Eminem;Like Toy Soldiers;48
Gary Jules;Mad World (Feat. Michael Andrews);65
Ashlee Simpson;Pieces Of Me;56
Will Young;Leave Right Now;55
Alicia Keys;You Don't Know My Name;61
Mariah Carey;We Belong Together;69
Mario;Let Me Love You;72
Kanye West;Gold Digger;78
Rihanna;Pon de Replay;77
50 Cent;Candy Shop;79
James Blunt;You're Beautiful;75
Green Day;Boulevard of Broken Dreams;72
The Pussycat Dolls;Don't Cha;72
Daniel Powter;Bad Day;74
Akon;Bananza (Belly Dancer);28
Madonna;Hung Up;74
50 Cent;Just A Lil Bit;76
Crazy Frog;Axel F;67
Eminem;Ass Like That;52
Sean Paul;We Be Burnin';59
Gwen Stefani;Rich Girl;68
The Chemical Brothers;Galvanize;63
Fort Minor;Remember the Name (feat. Styles of Beyond);73
50 Cent;Disco Inferno;72
The Game;How We Do;74
Chris Brown;Run It! (feat. Juelz Santana);71
Mariah Carey;It's Like That;0
Black Eyed Peas;My Humps;67
Ciara;Oh (feat. Ludacris);61
50 Cent;Outta Control - Remix;60
Baby Bash;Baby, I'm Back;4
Jennifer Lopez;Get Right;65
JAY-Z;Numb / Encore;76
The Game;Hate It Or Love It;77
Gorillaz;Feel Good Inc.;82
Black Eyed Peas;Don't Phunk With My Heart;62
Akon;Lonely;21
Bodyrockers;I Like The Way - Radio Edit;54
Sugababes;Push The Button;64
Jeezy;Soul Survivor;55
Eminem;Mockingbird;77
Shakira;La Tortura (feat. Alejandro Sanz);72
Gorillaz;DARE;73
Snoop Dogg;Signs;54
Robbie Williams;Tripping;58
David Banner;Play;52
Trillville;Some Cut;50
D4L;Laffy Taffy;63
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);67
Rob Thomas;Lonely No More;56
Brian McFadden;Almost Here;42
Bobby V.;"Slow Down - 12"" Version";65
Backstreet Boys;Incomplete;63
Pretty Ricky;Grind With Me;63
Kanye West;Diamonds From Sierra Leone - Remix;61
Snoop Dogg;Drop It Like It's Hot;39
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;41
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);63
Ciara;1, 2 Step (feat. Missy Elliott) - Main;52
Amerie;1 Thing;52
Ludacris;Get Back;59
Franz Ferdinand;Do You Want To;61
Natalie Imbruglia;Shiver;52
Gwen Stefani;Hollaback Girl;69
Pretty Ricky;Your Body;59
Thirty Seconds To Mars;The Kill;74
Alicia Keys;Karma;50
2Pac;Ghetto Gospel;68
Craig David;Don't Love You No More (I'm Sorry);56
Katie Melua;Nine Million Bicycles;60
Lil Jon & The East Side Boyz;Lovers And Friends;66
Mariah Carey;Don't Forget About Us - Radio Edit;0
Ying Yang Twins;Wait (The Whisper Song);57
Will Smith;Switch;34
Bow Wow;Like You (feat. Ciara);66
Kaiser Chiefs;Everyday I Love You Less And Less;58
Kelly Clarkson;Behind These Hazel Eyes;59
Black Eyed Peas;Don't Lie;61
Westlife;You Raise Me Up;1
Ray J;One Wish;62
Papa Roach;Scars;60
Arctic Monkeys;I Bet You Look Good On The Dancefloor;71
Shayne Ward;That's My Goal;1
Bow Wow;Let Me Hold You (feat. Omarion);62
Kaiser Chiefs;I Predict A Riot;63
Usher;Caught Up;61
Kelly Clarkson;Because of You;71
3 Doors Down;Let Me Go;52
Nickelback;Photograph;67
T-Pain;I'm Sprung;0
Destiny's Child;Cater 2 U;58
The Pussycat Dolls;Stickwitu;67
Ryan Cabrera;TRUE;62
Stereophonics;Dakota;69
Eminem;Like Toy Soldiers;67
Nelly;Over And Over;61
Coldplay;Speed of Sound;69
KT Tunstall;Suddenly I See;71
Destiny's Child;Girl;55
Kelly Clarkson;Since U Been Gone;71
U2;Sometimes You Can't Make It On Your Own;56
The All-American Rejects;Dirty Little Secret;65
Toby Keith;As Good As I Once Was;67
Gwen Stefani;Cool;59
Foo Fighters;Best of You;76
Shakira;Hips Don't Lie (feat. Wyclef Jean);82
Sean Paul;Temperature;78
Justin Timberlake;SexyBack (feat. Timbaland);78
Beyoncé;Irreplaceable;70
Amy Winehouse;Rehab;71
Rihanna;SOS;73
Gnarls Barkley;Crazy;74
Busta Rhymes;Touch It;61
Nelly Furtado;Maneater;79
Bob Sinclar;Rock This Party - Everybody Dance Now;69
Diddy;Come to Me (feat. Nicole Scherzinger);55
Madonna;Sorry;61
Chamillionaire;Ridin';71
Black Eyed Peas;Pump It;75
Nelly Furtado;Promiscuous;82
Fedde Le Grand;Put Your Hands Up for Detroit - Radio Edit;39
Sean Paul;(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version;58
The Pussycat Dolls;Buttons;68
Ciara;Get Up (feat. Chamillionaire);59
Eminem;Shake That;74
Cherish;Do It To It;65
Muse;Supermassive Black Hole;75
Chris Brown;Gimme That;63
Infernal;From Paris to Berlin;57
Cassie;Me & U;73
E-40;U and Dat (feat. T. Pain & Kandi Girl);63
The Pussycat Dolls;Beep;57
Lil Jon;Snap Yo Fingers;67
Armand Van Helden;My My My - Radio Edit;40
The Notorious B.I.G.;Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster;68
Yung Joc;It's Goin' Down (feat. Nitti);66
Shayne Ward;No Promises;1
Justin Timberlake;My Love (feat. T.I.);72
Nickelback;Savin' Me;65
Nelly;Grillz;60
Take That;Patience;64
Fergie;London Bridge;57
Cascada;Everytime We Touch - Radio Edit;0
D4L;Laffy Taffy;63
LL Cool J;Control Myself;42
Beyoncé;Deja Vu (feat. Jay-Z);57
P!nk;Stupid Girls;0
Eminem;When I'm Gone;68
Kelis;Bossy;50
Bob Sinclar;Love Generation - Radio Edit;49
Meck;Thunder in My Heart Again (Radio Edit);46
